,month,repository_name,repository_url,new_stars,repository_created_at,repository_language,t_stars
196,2012-12,select2,https://github.com/ivaynberg/select2,872,2012-03-04 18:43:12,JavaScript,4643.0
197,2012-12,xcharts,https://github.com/tenXer/xcharts,829,2012-12-04 22:26:34,JavaScript,855.0
198,2012-12,rails_panel,https://github.com/dejan/rails_panel,813,2012-11-18 15:29:24,Ruby,876.0
199,2012-12,brackets,https://github.com/adobe/brackets,789,2011-12-07 21:14:40,JavaScript,8385.0
200,2012-11,ratchet,https://github.com/maker/ratchet,2483,2012-08-17 05:41:57,JavaScript,2939.0
201,2012-11,bootstrap,https://github.com/twitter/bootstrap,1580,2011-07-29 21:19:00,JavaScript,40937.0
202,2012-11,colour-schemes,https://github.com/daylerees/colour-schemes,1379,,,
203,2012-11,pickadate.js,https://github.com/amsul/pickadate.js,1372,2012-11-16 01:36:42,JavaScript,1612.0
204,2012-11,bootstrap-modal,https://github.com/jschr/bootstrap-modal,1356,2012-09-26 20:06:00,JavaScript,1691.0
205,2012-11,alertify.js,https://github.com/fabien-d/alertify.js,1190,2012-06-09 02:50:10,JavaScript,1542.0
206,2012-11,Garlic.js,https://github.com/guillaumepotier/Garlic.js,934,2012-11-10 15:58:25,JavaScript,1012.0
207,2012-11,dashing,https://github.com/Shopify/dashing,932,2012-07-18 21:01:40,JavaScript,1446.0
208,2012-11,d3,https://github.com/mbostock/d3,894,2010-09-27 17:22:42,JavaScript,10229.0
209,2012-11,x-editable,https://github.com/vitalets/x-editable,890,2012-11-19 14:12:46,JavaScript,978.0
210,2012-10,bootstrap,https://github.com/twitter/bootstrap,1720,2011-07-29 21:19:00,JavaScript,39599.0
211,2012-10,selfstarter,https://github.com/lockitron/selfstarter,925,2012-10-11 17:42:56,Ruby,972.0
212,2012-10,brackets,https://github.com/adobe/brackets,818,2011-12-07 21:14:40,JavaScript,7372.0
213,2012-10,pattern,https://github.com/clips/pattern,790,2011-05-03 15:29:01,Python,1049.0
214,2012-10,foundation,https://github.com/zurb/foundation,785,2011-10-13 23:05:42,Ruby,7009.0
215,2012-10,gitlabhq,https://github.com/gitlabhq/gitlabhq,784,2011-10-02 16:25:27,Ruby,5003.0
